ISBN	Response Group	Log time	Log date
9788847057661	ItemAttributes	11:42:25	27:09:17
9789462650954	ItemAttributes	11:42:27	27:09:17
9789462651012	ItemAttributes	11:42:28	27:09:17
9789462651043	ItemAttributes	11:42:29	27:09:17
9789462651227	ItemAttributes	11:42:30	27:09:17
9789462651319	ItemAttributes	11:42:31	27:09:17
9789462651401	ItemAttributes	11:42:34	27:09:17
9789462651432	ItemAttributes	11:42:36	27:09:17
9783662490891	ItemAttributes	11:42:37	27:09:17
9783662494844	ItemAttributes	11:42:38	27:09:17
9783662487143	ItemAttributes	11:42:39	27:09:17
9783662526750	ItemAttributes	11:42:42	27:09:17
9783662526774	ItemAttributes	11:42:43	27:09:17
9783642372025	ItemAttributes	11:42:45	27:09:17
9783662498484	ItemAttributes	11:42:46	27:09:17
9783662467862	ItemAttributes	11:42:47	27:09:17
9783642545962	ItemAttributes	11:42:48	27:09:17
9783662463727	ItemAttributes	11:42:49	27:09:17
9783662477830	ItemAttributes	11:42:50	27:09:17
9783662489918	ItemAttributes	11:42:53	27:09:17
9783662473191	ItemAttributes	11:42:55	27:09:17
9783662480274	ItemAttributes	11:42:56	27:09:17
9783662490914	ItemAttributes	11:42:57	27:09:17
9783662477182	ItemAttributes	11:42:58	27:09:17
9783662466933	ItemAttributes	11:42:59	27:09:17
9783662490402	ItemAttributes	11:43:02	27:09:17
9783662477113	ItemAttributes	11:43:04	27:09:17
9783662450666	ItemAttributes	11:43:05	27:09:17
9783642545702	ItemAttributes	11:43:06	27:09:17
9783540785538	ItemAttributes	11:43:07	27:09:17
9783642105029	ItemAttributes	11:43:08	27:09:17
9783662491683	ItemAttributes	11:43:14	27:09:17
9783662468838	ItemAttributes	11:43:15	27:09:17
9783662487518	ItemAttributes	11:43:16	27:09:17
9783642141737	ItemAttributes	11:43:17	27:09:17
9783662528266	ItemAttributes	11:43:18	27:09:17
9783662477939	ItemAttributes	11:43:21	27:09:17
9783642982323	ItemAttributes	11:43:23	27:09:17
9783662471913	ItemAttributes	11:43:24	27:09:17
9783662491775	ItemAttributes	11:43:25	27:09:17
9783662479032	ItemAttributes	11:43:26	27:09:17
9783662478264	ItemAttributes	11:43:27	27:09:17
9783662490365	ItemAttributes	11:43:28	27:09:17
9783662470381	ItemAttributes	11:43:30	27:09:17
9783662497340	ItemAttributes	11:43:31	27:09:17
9783662488560	ItemAttributes	11:43:32	27:09:17
9783662477137	ItemAttributes	11:43:33	27:09:17
9783662465981	ItemAttributes	11:43:34	27:09:17
9783662457672	ItemAttributes	11:43:35	27:09:17
9783662484500	ItemAttributes	11:43:38	27:09:17
9783642416781	ItemAttributes	11:43:42	27:09:17
9783662487860	ItemAttributes	11:43:43	27:09:17
9783642404061	ItemAttributes	11:43:44	27:09:17
9783662481905	ItemAttributes	11:43:45	27:09:17
9783662441510	ItemAttributes	11:43:46	27:09:17
9783642546006	ItemAttributes	11:43:50	27:09:17
9783662514733	ItemAttributes	11:43:51	27:09:17
9783662486184	ItemAttributes	11:43:52	27:09:17
9783662448380	ItemAttributes	11:43:53	27:09:17
9783642544927	ItemAttributes	11:43:54	27:09:17
9783662486207	ItemAttributes	11:43:55	27:09:17
9783662451533	ItemAttributes	11:43:58	27:09:17
